,name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1,Latitude,Longitude
0,Central,21201,Downtown,11,CENTRAL,"400 Cathedral St
Baltimore, MD
",39.2945319,-76.6175457
1,Brooklyn,21225,Brooklyn,10,SOUTHERN,"300 Patapsco Av
Baltimore, MD
",39.237934,-76.6066064
2,Canton,21224,Canton,1,SOUTHEASTERN,"1030 Ellwood St
Baltimore, MD
",39.280283,-76.5729379
3,Cherry Hill,21225,Cherry Hill,10,SOUTHERN,"606 Cherry Hill
Baltimore, MD
",39.2506131,-76.6223117
4,Clifton,21213,South Clifton Park,12,EASTERN,"2001 Wolfe St
Baltimore, MD
",39.3133247,-76.5914038
5,Edmondson,21229,Rognel Heights,8,SOUTHWESTERN,"4330 Edmondson Av
Baltimore, MD
",39.2938328,-76.6891233
6,Forest Park,21216,Forest Park,6,NORTHWESTERN,"3023 Garrison
Baltimore, MD
",39.3234222,-76.6807508
7,Govans,21212,Homeland,4,NORTHERN,"5714 Bellona Av
Baltimore, MD
",39.3595288,-76.6112154
8,Hamilton,21214,Harford-Echodale/Perring Parkway,3,NORTHEASTERN,"5910 Harford Rd
Baltimore, MD
",39.3564868,-76.5582626
9,Hampden,21211,Hampden,7,NORTHERN,"3641 Falls Rd
Baltimore, MD
",39.3323091,-76.6350463
10,Herring Run,21213,Belair-Edison,13,NORTHEASTERN,"3801 Erdman Av
Baltimore, MD
",39.3153603,-76.5691236
11,Light St,21230,Federal Hill,10,SOUTHERN,"1251 Light St
Baltimore, MD
",39.2749075,-76.6117873
12,Northwood,21218,New Northwood,3,NORTHEASTERN,"4420 Loch
Baltimore, MD
",39.3455169,-76.5925919
13,Patterson Park,21224,McElderry Park,13,SOUTHEASTERN,"158 Linwood
Baltimore, MD
",39.290427,-76.5760874
14,Pennsylvania,21217,Druid Heights,11,CENTRAL,"1531 North Av
Baltimore, MD
",39.3098603,-76.6418446
15,Reisterstown,21215,Reisterstown Station,5,NORTHWESTERN,"6310 Reisterstown
Baltimore, MD
",39.3545809,-76.7005876
16,Roland Park,21210,Roland Park,6,NORTHERN,"5108 Roland Av
Baltimore, MD
",39.3559987,-76.6350856
17,Walbrook,21216,Rosemont,7,SOUTHWESTERN,"3203 North Av
Baltimore, MD
",39.3087089,-76.6716287
18,Washington Village,21230,Washington Village,11,SOUTHERN,"856 Washington
Baltimore, MD
",39.2831046,-76.6301574
19,Waverly,21218,Oakenshawe,14,NORTHERN,"400 33rd St
Baltimore, MD
",39.3286538,-76.610664
20,Southeast Anchor,21224,Brewers Hill,1,SOUTHEASTERN,"3601 Eastern Ave
Baltimore, MD
",39.2862705,-76.5667424
21,Orleans,21231,Dunbar-Broadway,12,SOUTHEASTERN,"1303 Oreleans St
Baltimore, MD
",39.2946738,-76.5992207
